date,temperature,humidity,luminosity
2020-12-02 16:13:57.848,22.6,13.8,98
2020-12-02 16:13:55.570,22.9,14.0,98
2020-12-02 16:13:53.289,23.1,14.1,98
2020-12-02 16:13:51.011,23.3,14.1,98
2020-12-02 16:13:48.733,23.7,14.3,98
2020-12-02 16:13:46.452,23.9,14.4,98
2020-12-02 16:13:44.174,24.1,14.5,98
2020-12-02 16:13:41.893,24.3,14.6,99
2020-12-02 16:13:39.615,24.6,14.7,99
2020-12-02 16:13:37.338,24.7,14.8,98
2020-12-02 16:13:35.056,24.8,14.8,99
2020-12-02 16:13:32.778,24.9,14.8,98
2020-12-02 16:13:30.501,25.3,15.0,100
2020-12-02 16:13:28.219,25.4,15.1,100
2020-12-02 16:13:25.942,25.6,15.3,102
2020-12-02 16:13:23.660,25.8,15.5,99
2020-12-02 16:13:21.383,25.9,15.6,100
2020-12-02 16:13:19.105,26.0,15.8,100
2020-12-02 16:13:16.823,26.1,16.0,99
2020-12-02 16:13:14.546,26.2,16.0,99
2020-12-02 16:13:12.264,26.2,16.1,99
2020-12-02 16:13:09.986,26.2,16.1,99
2020-12-02 16:13:07.709,26.2,16.2,99
2020-12-02 16:13:05.427,26.1,16.2,99
2020-12-02 16:13:03.149,26.1,16.2,99
2020-12-02 16:13:00.872,25.9,16.2,99
2020-12-02 16:12:58.590,25.9,16.2,99
2020-12-02 16:12:56.313,25.8,16.2,99
2020-12-02 16:12:54.031,25.7,16.3,98
2020-12-02 16:12:51.753,25.6,16.2,98
2020-12-02 16:12:49.476,25.5,16.2,98
2020-12-02 16:12:47.195,25.5,16.2,99
2020-12-02 16:12:44.917,25.4,16.2,99
2020-12-02 16:12:42.639,25.3,16.2,98
2020-12-02 16:12:40.358,25.2,16.1,99
2020-12-02 16:12:38.080,25.1,16.1,99
2020-12-02 16:12:35.798,25.1,16.1,99
2020-12-02 16:12:33.521,25.1,16.1,98
2020-12-02 16:12:31.239,25.0,16.1,98
2020-12-02 16:12:28.962,24.9,16.0,98
2020-12-02 16:12:26.684,24.7,15.9,98
2020-12-02 16:12:24.403,24.6,15.8,98
2020-12-02 16:12:22.125,24.5,15.7,98
2020-12-02 16:12:19.843,24.4,15.6,99
2020-12-02 16:12:17.566,24.3,15.5,99
2020-12-02 16:12:15.289,24.4,15.4,98
2020-12-02 16:12:13.007,24.4,15.4,98
2020-12-02 16:12:10.729,24.5,15.5,98
2020-12-02 16:12:08.447,24.5,15.5,98
2020-12-02 16:12:06.170,24.6,15.5,98
2020-12-02 16:12:03.892,24.6,15.5,98
2020-12-02 16:12:01.611,24.6,15.5,98
2020-12-02 16:11:59.333,24.7,15.6,98
2020-12-02 16:11:57.052,24.7,15.6,98
2020-12-02 16:11:54.774,24.7,15.6,98
2020-12-02 16:11:52.492,24.7,15.6,98
2020-12-02 16:11:50.215,24.8,15.7,98
2020-12-02 16:11:47.938,24.8,15.7,98
2020-12-02 16:11:45.656,24.9,15.7,98
2020-12-02 16:11:43.378,24.9,15.7,98
2020-12-02 16:11:41.096,24.9,15.7,97
2020-12-02 16:11:38.819,24.9,15.7,99
2020-12-02 16:11:36.541,24.9,15.7,100
2020-12-02 16:11:34.260,25.0,15.8,98
2020-12-02 16:11:31.982,25.0,15.8,98
2020-12-02 16:11:29.701,25.0,15.9,98
2020-12-02 16:11:27.423,25.1,16.0,98
2020-12-02 16:11:25.142,25.1,16.0,98
2020-12-02 16:11:22.864,25.2,16.1,98
2020-12-02 16:11:20.586,25.2,16.1,98
2020-12-02 16:11:18.305,25.3,16.2,97
2020-12-02 16:11:16.027,25.3,16.3,99
2020-12-02 16:11:13.746,25.3,16.3,96
2020-12-02 16:11:11.468,25.4,16.4,98
2020-12-02 16:11:09.190,25.4,16.4,98
2020-12-02 16:11:06.909,25.3,16.4,97
2020-12-02 16:11:04.631,25.3,16.5,98
2020-12-02 16:11:02.350,25.2,16.5,98
2020-12-02 16:11:00.072,25.1,16.5,99
2020-12-02 16:10:57.795,25.1,16.5,97
2020-12-02 16:10:55.513,25.0,16.5,97
2020-12-02 16:10:53.235,24.9,16.4,97
2020-12-02 16:10:50.954,24.8,16.4,97
2020-12-02 16:10:48.676,24.7,16.3,97
2020-12-02 16:10:46.395,24.6,16.3,97
2020-12-02 16:10:44.117,24.5,16.2,96
2020-12-02 16:10:41.840,24.4,16.1,97
2020-12-02 16:10:39.558,24.4,16.1,98
2020-12-02 16:10:37.280,24.4,16.1,97
2020-12-02 16:10:35.003,24.4,16.1,97
2020-12-02 16:10:32.721,24.3,16.1,100
2020-12-02 16:10:30.444,24.2,16.0,99
2020-12-02 16:10:28.162,24.1,15.9,99
2020-12-02 16:10:25.885,24.0,15.8,97
2020-12-02 16:10:23.607,23.9,15.7,98
2020-12-02 16:10:21.325,23.8,15.6,99
2020-12-02 16:10:19.048,23.7,15.4,98
2020-12-02 16:10:16.766,23.7,15.3,96
2020-12-02 16:10:14.489,23.8,15.3,97
2020-12-02 16:10:12.211,23.8,15.3,97
2020-12-02 16:10:09.929,23.9,15.4,99
2020-12-02 16:10:07.652,23.9,15.4,97
2020-12-02 16:10:05.370,23.9,15.4,97
2020-12-02 16:10:03.093,23.9,15.4,97
2020-12-02 16:10:00.811,24.0,15.5,97
2020-12-02 16:09:58.534,24.1,15.5,97
2020-12-02 16:09:56.257,24.1,15.5,97
2020-12-02 16:09:53.975,24.1,15.4,97
2020-12-02 16:09:51.697,24.2,15.4,97
2020-12-02 16:09:49.419,24.2,15.4,97
2020-12-02 16:09:47.138,24.3,15.5,97
2020-12-02 16:09:44.860,24.3,15.5,97
2020-12-02 16:09:42.579,24.4,15.6,97
2020-12-02 16:09:40.301,24.4,15.6,98
2020-12-02 16:09:38.024,24.5,15.7,97
2020-12-02 16:09:35.742,24.6,15.7,96
2020-12-02 16:09:33.464,24.6,15.7,97
2020-12-02 16:09:31.183,24.7,15.8,97
2020-12-02 16:09:28.905,24.7,15.9,97
2020-12-02 16:09:26.624,24.8,16.0,97
2020-12-02 16:09:24.346,24.9,16.2,97
2020-12-02 16:09:22.069,24.9,16.3,97
2020-12-02 16:09:19.787,25.0,16.3,97
2020-12-02 16:09:17.509,25.1,16.4,97
2020-12-02 16:09:15.228,25.1,16.5,97
2020-12-02 16:09:12.950,25.1,16.5,97
2020-12-02 16:09:10.673,25.0,16.5,99
2020-12-02 16:09:08.391,24.9,16.5,97
2020-12-02 16:09:06.113,24.8,16.5,96
2020-12-02 16:09:03.832,24.7,16.4,97
2020-12-02 16:09:01.554,24.6,16.4,96
2020-12-02 16:08:59.272,24.6,16.4,96
2020-12-02 16:08:56.995,24.5,16.4,97
2020-12-02 16:08:54.717,24.4,16.3,98
2020-12-02 16:08:52.436,24.4,16.3,97
2020-12-02 16:08:50.158,24.4,16.3,97
2020-12-02 16:08:47.877,24.4,16.4,96
2020-12-02 16:08:45.599,24.4,16.4,96
2020-12-02 16:08:43.322,24.3,16.4,96
2020-12-02 16:08:41.040,24.3,16.4,98
2020-12-02 16:08:38.762,24.2,16.3,96
2020-12-02 16:08:36.485,24.1,16.3,96
2020-12-02 16:08:34.203,24.1,16.3,96
2020-12-02 16:08:31.925,24.0,16.2,96
2020-12-02 16:08:29.644,23.9,16.1,96
2020-12-02 16:08:27.367,23.8,16.0,96
2020-12-02 16:08:25.089,23.6,15.9,96
2020-12-02 16:08:22.807,23.5,15.8,96
2020-12-02 16:08:20.530,23.4,15.7,96
2020-12-02 16:08:18.248,23.4,15.6,97
2020-12-02 16:08:15.970,23.3,15.4,98
2020-12-02 16:08:13.693,23.4,15.5,96
2020-12-02 16:08:11.411,23.4,15.4,96
2020-12-02 16:08:09.134,23.5,15.5,96
2020-12-02 16:08:06.852,23.5,15.5,96
2020-12-02 16:08:04.575,23.5,15.5,96
2020-12-02 16:08:02.298,23.6,15.6,96
2020-12-02 16:08:00.016,23.6,15.6,97
2020-12-02 16:07:57.738,23.7,15.6,96
2020-12-02 16:07:55.457,23.8,15.6,96
2020-12-02 16:07:53.179,23.8,15.6,96
2020-12-02 16:07:50.902,23.9,15.6,96
2020-12-02 16:07:48.620,23.9,15.6,97
2020-12-02 16:07:46.343,24.0,15.6,96
2020-12-02 16:07:44.061,24.1,15.7,96
2020-12-02 16:07:41.783,24.2,15.7,96
2020-12-02 16:07:39.506,24.2,15.8,96
2020-12-02 16:07:37.224,24.3,15.9,97
2020-12-02 16:07:34.947,24.4,16.0,96
2020-12-02 16:07:32.665,24.5,16.0,96
2020-12-02 16:07:30.387,24.6,16.1,96
2020-12-02 16:07:28.110,24.6,16.1,96
2020-12-02 16:07:25.828,24.7,16.3,96
2020-12-02 16:07:23.551,24.8,16.5,96
2020-12-02 16:07:21.269,24.9,16.6,96
2020-12-02 16:07:18.992,24.9,16.7,96
2020-12-02 16:07:16.714,25.0,16.8,96
2020-12-02 16:07:14.432,25.1,16.8,96
2020-12-02 16:07:12.155,25.0,16.9,96
2020-12-02 16:07:09.873,24.9,16.9,96
2020-12-02 16:07:07.596,24.9,16.9,96
2020-12-02 16:07:05.318,24.9,17.0,96
2020-12-02 16:07:03.037,24.8,17.0,96
2020-12-02 16:07:00.759,24.7,17.0,96
2020-12-02 16:06:58.477,24.6,17.0,96
2020-12-02 16:06:56.200,24.5,16.9,96
2020-12-02 16:06:53.922,24.4,17.0,96
2020-12-02 16:06:51.640,24.4,17.0,98
2020-12-02 16:06:49.363,24.4,17.1,96
2020-12-02 16:06:47.081,24.3,17.1,95
2020-12-02 16:06:44.804,24.3,17.1,96
2020-12-02 16:06:42.522,24.2,17.2,96
2020-12-02 16:06:40.245,24.2,17.1,96
2020-12-02 16:06:37.967,24.1,17.1,96
2020-12-02 16:06:35.685,24.1,17.0,96
2020-12-02 16:06:33.408,24.0,17.0,96
2020-12-02 16:06:31.126,23.9,16.9,96
2020-12-02 16:06:28.849,23.8,16.8,96
2020-12-02 16:06:26.571,23.7,16.7,96
2020-12-02 16:06:24.290,23.5,16.5,96
2020-12-02 16:06:22.012,23.4,16.4,96
2020-12-02 16:06:19.730,23.2,16.2,95
2020-12-02 16:06:17.453,23.0,16.0,97
2020-12-02 16:06:15.175,23.0,16.0,96
2020-12-02 16:06:12.894,23.0,15.9,96
2020-12-02 16:06:10.616,23.1,16.0,96
2020-12-02 16:06:08.339,23.1,16.0,96
2020-12-02 16:06:06.057,23.1,16.0,96
2020-12-02 16:06:03.779,23.2,16.1,96
2020-12-02 16:06:01.498,23.2,16.1,96
2020-12-02 16:05:59.220,23.2,16.1,97
2020-12-02 16:05:56.943,23.2,16.2,97
2020-12-02 16:05:54.661,23.3,16.3,96
2020-12-02 16:05:52.383,23.3,16.3,96
2020-12-02 16:05:50.106,23.3,16.3,95
2020-12-02 16:05:47.824,23.4,16.4,97
2020-12-02 16:05:45.546,23.4,16.5,96
2020-12-02 16:05:43.265,23.5,16.6,96
2020-12-02 16:05:40.987,23.6,16.7,96
2020-12-02 16:05:38.710,23.6,16.7,96
2020-12-02 16:05:36.428,23.7,16.8,96
2020-12-02 16:05:34.151,23.7,16.8,96
2020-12-02 16:05:31.869,23.8,16.8,96
2020-12-02 16:05:29.591,23.8,16.8,96
2020-12-02 16:05:27.314,23.9,16.8,96
2020-12-02 16:05:25.032,24.0,16.9,94
2020-12-02 16:05:22.755,24.1,17.1,97
2020-12-02 16:05:20.473,24.1,17.2,96
2020-12-02 16:05:18.196,24.3,17.3,96
2020-12-02 16:05:15.918,24.3,17.4,96
2020-12-02 16:05:13.636,24.3,17.4,96
2020-12-02 16:05:11.359,24.3,17.5,96
2020-12-02 16:05:09.077,24.2,17.5,96
